producto,producto_a_id,producto_b_id,categoria,subcategoria,supermercado,producto_base,score,motivo_estimado
Desodorante Ambiental Air Wick Eléctrico Manzana Canela 21 ml 5 un. | Desodorante Ambiental Air Wick Eléctrico Manzana Navidad 3 un.,28057,28289,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_manzana,55,cantidad distinta; formato distinto; score bajo
Desodorante Ambiental Air Wick Freshmatic Manzana Navidad Full 1 Un | Desodorante Ambiental Air Wick Freshmatic Manzana Recarga 250 ml 2 Un,28272,28273,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_freshmatic_manzana,55,cantidad distinta; formato distinto; score bajo
Duraznos En Mitades Tarro Drenado 340 g - Neto 580 g Aconcagua | Duraznos En Mitades Tarro Drenado 480 g- Neto 820 g Lider,1629,1631,Despensa,Conservas,Líder / Líder,duraznos_en_mitades_tarro_drenado_neto,56,formato distinto; peso distinto; score bajo
Duraznos En Mitades Tarro Drenado 340 g - Neto 590 g Wasil | Duraznos En Mitades Tarro Drenado 480 g- Neto 820 g Lider,1627,1631,Despensa,Conservas,Líder / Líder,duraznos_en_mitades_tarro_drenado_neto,56,formato distinto; peso distinto; score bajo
Té Verde Chino Caja 20 Un Green | Té Verde Chino Caja 200 g Green,3134,3158,Despensa,Cafe,Líder / Líder,te_verde_chino_caja_green_sin,56,formato distinto; score bajo
Desodorante Ambiental Air Wick Eléctrico Aparato + Repuesto Manzana Canela 21 ml | Desodorante Ambiental Air Wick Eléctrico Aparato + Recarga Manzana 2 un.,28020,28295,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_aparato,56,formato distinto; score bajo
Desodorante Ambiental Air Wick Eléctrico Repuesto 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un.,27991,28056,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_repuesto,56,cantidad distinta; formato distinto; score bajo; volumen distinto
Bebida Energética Sin Azúcar Lata 473 ml Red Bull | Bebida Energética Zero Azúcar Lata 250 ml Red Bull,3382,3392,Bebe,Alimentos Bebe,Líder / Líder,bebida_energetica_azucar_lata_red_bull,57,formato distinto; score bajo; volumen distinto
Bebida Energética Zero Azúcar Lata 250 ml Red Bull | Bebida Energética Sin Azúcar Lata 355 ml Red Bull,3392,3471,Bebe,Alimentos Bebe,Líder / Líder,bebida_energetica_azucar_lata_red_bull,57,formato distinto; score bajo; volumen distinto
"Jugo Natural Prensado Bless 07 Maracuyá, Naranja, Piña, Manzana y Limón 1 L | Jugo Prensado Bless 07 Maracuyá, Naranja, Piña y Manzana 300 ml",21435,21836,Bebidas,Jugos,Jumbo / Jumbo,jugo_prensado_bless_07_maracuya__naranja_,57,formato distinto; score bajo; volumen distinto
"Jugo Natural Prensado Bless 45 Pepino, Espirulina, Manzana, Piña, Jengibre y Limón 1 L | Jugo Prensado Bless 45 Pepino, Espirulina, Manzana, Piña y Jengibre 300 ml",21459,21838,Bebidas,Jugos,Jumbo / Jumbo,jugo_prensado_bless_45_pepino__espirulina_,57,formato distinto; score bajo; volumen distinto
Hamburguesa De Vacuno Y Cerdo Con Carne Angus 100 g La Preferida | Hamburguesa De Vacuno Y Cerdo Con Carne De Angus Pack 10 Un 1 kg La Preferida,1880,1945,Congelados,Congelados,Líder / Líder,hamburguesa_vacuno_cerdo_con_carne_angus,57,formato distinto; peso distinto; score bajo
Galletas Oreo Selena Gomez Sabor Canela 108 g | Galletas Oreo Selena Gomez Sabor Canela 216 g 6 un.,17010,17367,Desayuno y Snacks,Galletas,Jumbo / Jumbo,galletas_oreo_selena_gomez_sabor_canela,57,formato distinto; peso distinto; score bajo
Snack Perro Gran Cani Esófago de Bovino 250 g | Snack Perro Gran Cani Esófago de Bovino 4 un.,20150,20186,Desayuno y Snacks,Snacks,Jumbo / Jumbo,snack_perro_gran_cani_esofago_bovino,57,formato distinto; score bajo
Crema Para Peinar Pantene Pro-v Rizos Definidos | Crema para Peinar Pantene Pro-V Bambú Nutre & Crece 300 ml,2926,9225,Despensa,Aceite,Líder / Jumbo,crema_para_peinar_pantene_pro_v,57,categoria distinta; score bajo
Desodorante Barra Dove Men Cuidado Total 45 g | Desodorante Barra Dove Men Cuidado Total 50 g 2 un.,27700,28250,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_barra_dove_men_cuidado_total,57,formato distinto; peso distinto; score bajo
Desodorante Spray Garnier Bí-O Protection 5 150 ml | Desodorante Spray Garnier Bí-O Protection 5 450 ml 3 un.,28103,28287,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_spray_garnier_bi_o_protection,57,formato distinto; score bajo; volumen distinto
Desodorante Spray Garnier Bí-O Protection 5 Hombre 150 ml 2 un. | Desodorante Spray Garnier Bí-O Protection 5 450 ml 3 un.,28201,28287,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_spray_garnier_bi_o_protection,57,cantidad distinta; formato distinto; score bajo; volumen distinto
Jabón Barra Le Sancy Frutos Rojos 3 un. 90 g | Jabón Barra Le Sancy Frutos Rojos 150 g 2 un.,27593,27679,Higiene Personal,Jabon,Jumbo / Jumbo,jabon_barra_le_sancy_frutos_rojos,57,cantidad distinta; formato distinto; peso distinto; score bajo
Jabón Barra Le Sancy Karité & Verbena 90 g 3 un. | Jabón Barra Le Sancy Karite & Verbena 2 un. de 150 g,27529,27533,Higiene Personal,Jabon,Jumbo / Jumbo,jabon_barra_le_sancy_karite_verbena,57,cantidad distinta; formato distinto; peso distinto; score bajo
Crema Facial Día L’Oréal Revitalift Antiarrugas Láser 50 ml | Crema Facial Día L’Oréal Revitalift Ácido Hialurónico FPS 20 - 25 ml,10257,10259,"Lacteos, Huevos y Congelados",Crema,Jumbo / Jumbo,crema_facial_dia_l_oreal_revitalift,57,formato distinto; score bajo; volumen distinto
Alimento Húmedo Perro Pet's Fun Paté Carne y Vegetales 170 g | Alimento Húmedo Perro Pet's Fun Trocitos Pollo Cordero y Pescado 100 g,12252,29109,Carnes y Pescados,Carnes,Jumbo / Jumbo,alimento_humedo_perro_pet_s_fun,58,categoria distinta; formato distinto; peso distinto; score bajo
"Alimento Seco Cachorro Raza Mediana/grande Carne Bolsa 3 Kg Champion Dog | Alimento Seco Cachorro Raza Mediana/grande Sabor Pollo Bolsa 2,5 Kg Animal Planet",1895,1989,Carnes y Pescados,Carnes,Líder / Líder,alimento_seco_cachorro_raza_mediana_grande,58,formato distinto; peso distinto; score bajo
"Alimento Seco Cachorro Raza Mediana/grande Sabor Carne Y Leche Bolsa 3 Kg Master Dog | Alimento Seco Cachorro Raza Mediana/grande Sabor Pollo Bolsa 2,5 Kg Animal Planet",306,1989,Carnes y Pescados,Carnes,Líder / Líder,alimento_seco_cachorro_raza_mediana_grande,58,formato distinto; peso distinto; score bajo
Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Champion Dog | Alimento Seco Perro Adulto Raza Mediana/grande Sabor Pollo Bolsa 15 Kg Animal Planet,1960,1986,Carnes y Pescados,Carnes,Líder / Líder,alimento_seco_perro_adulto_raza_mediana,58,categoria distinta; formato distinto; peso distinto; score bajo
Base Para Carne Mongoliana (5 Porciones) Sobre 30 g Lider | Base Para Carne Mongoliana (5 Porciones) Sobre 26 g Maggi,1870,1936,Carnes y Pescados,Carnes,Líder / Líder,base_para_carne_mongoliana_5_porciones,58,formato distinto; peso distinto; score bajo
Café En Cápsulas Single-origin Colombia Espresso 10 Un 57 g Starbucks by Nespresso | Café En Cápsulas Single-origin Colombia Espresso 12 Tazas 66 g Starbucks Dolce Gusto,3103,3107,Despensa,Cafe,Líder / Líder,cafe_en_capsulas_single_origin_colombia,58,formato distinto; peso distinto; score bajo
Fideo Pasta Spaghetti N°5 Bolsa 500 g Barilla | Fideo Pasta Proteína Spaghetti N°5 Bolsa 400 g Lucchetti,3510,3554,Despensa,Fideos,Líder / Líder,fideo_pasta_spaghetti_n_5_bolsa,58,formato distinto; peso distinto; score bajo
Orégano Entero Bolsa 50 g Gourmet | Orégano Entero Natural Bolsa 20 g Gourmet,2774,2797,Despensa,Condimentos,Líder / Líder,oregano_entero_bolsa_gourmet_sin_marca,58,formato distinto; peso distinto; score bajo
Pack 2 un. Antitranspirante Spray Nivea Tono Natural 50 ml | Pack 2 un. Antitranspirante Spray Nivea Men Fresh Active 91 g,27896,27964,Higiene Personal,Desodorantes,Jumbo / Jumbo,pack_2_un__antitranspirante_spray_nivea,58,formato distinto; score bajo
Pasta Dental Colgate Triple Acción Extra Frescura 90 g 3 un. | Pasta Dental Colgate Triple Acción Extra Blancura 125 ml,28343,28535,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_colgate_triple_accion_extra,58,formato distinto; score bajo
Pasta Dental Oral-B 3D White Brilliant Fresh 53 ml | Pasta Dental Oral-B 3D White Glamorous 3 un.,28349,28541,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_oral_b_3d_white,58,formato distinto; score bajo
Pasta Dental Oral-B 3D White Brilliant Fresh 53 ml | Pasta Dental Oral-B 3D White Perfection 2 un.,28349,28371,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_oral_b_3d_white,58,formato distinto; score bajo
Pasta Dental Oral-B 3D White Mineral Clean 75 ml | Pasta Dental Oral-B 3D White Glamorous 3 un.,28391,28541,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_oral_b_3d_white,58,formato distinto; score bajo
Pasta Dental Oral-B 3D White Perfection 102 g | Pasta Dental Oral-B 3D White Glamorous 3 un.,28416,28541,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_oral_b_3d_white,58,formato distinto; score bajo
Pasta Dental Oral-B 3D White Perfection 2 un. | Pasta Dental Oral-B 3D White Mineral Clean 75 ml,28371,28391,Higiene Personal,Cuidado Bucal,Jumbo / Jumbo,pasta_dental_oral_b_3d_white,58,formato distinto; score bajo
Shampoo Ballerina Natural Manzanilla Doypack | Shampoo Ballerina Manzanilla Doypack 750 ml,1106,26113,Higiene Personal,Shampoo,Líder / Jumbo,shampoo_ballerina_manzanilla_doypack_sin_marca,58,score bajo
Crema Facial Día L’Oréal Revitalift Láser Triple Acción Antiedad FPS 25 50 ml | Crema Facial Día L’Oréal Revitalift Ácido Hialurónico FPS 20 - 25 ml,8368,10259,"Lacteos, Huevos y Congelados",Crema,Jumbo / Jumbo,crema_facial_dia_l_oreal_revitalift,58,formato distinto; score bajo; volumen distinto
Pack St. Ives: Crema Elastina 532 ml + Scrub Pink Lemon 170 g | Pack St. Ives: Crema Elastina + Scrub Apricot + Body Wash Karité,10132,10134,"Lacteos, Huevos y Congelados",Crema,Jumbo / Jumbo,pack_st__ives_crema_elastina_scrub,58,score bajo
Agua Mineral Cachantun Sin Gas 1.6 L | Agua Mineral Cachantun Light Gas 500 ml,22020,22136,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,59,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Sin Gas 2.25 L | Agua Mineral Cachantun Light Gas 500 ml,21773,22136,Bebidas,Jugos,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,59,formato distinto; score bajo; volumen distinto
Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Champion Dog | Alimento Seco Perro Adulto Raza Mediana/grande Pollo Y Carne Bolsa 12 Kg Purina One,1960,1977,Carnes y Pescados,Carnes,Líder / Líder,alimento_seco_perro_adulto_raza_mediana,59,categoria distinta; formato distinto; peso distinto; score bajo
Hamburguesa Vegetal Receta del Abuelo Vegan Crispy Nugget 400 g | Hamburguesa Vegetal Receta del Abuelo Vegan Burger Queso Azul 100 g,12482,13740,Carnes y Pescados,Aves,Jumbo / Jumbo,hamburguesa_vegetal_receta_del_abuelo_vegan,59,categoria distinta; formato distinto; peso distinto; score bajo
Néctar Watt's Naranja Light 200 cc | Néctar Watt's Naranja 1.5 L,18985,21343,Desayuno y Snacks,Galletas,Jumbo / Jumbo,nectar_watt_s_naranja_sin_marca,59,categoria distinta; formato distinto; score bajo; volumen distinto
Néctar Watt's Naranja Light 200 cc | Néctar Watt's Naranja 300 ml,18985,21646,Desayuno y Snacks,Galletas,Jumbo / Jumbo,nectar_watt_s_naranja_sin_marca,59,categoria distinta; formato distinto; score bajo; volumen distinto
Néctar Watt's Piña Light 200 ml | Néctar Watt's Piña 1.5 L,19178,21340,Desayuno y Snacks,Galletas,Jumbo / Jumbo,nectar_watt_s_pina_sin_marca,59,categoria distinta; formato distinto; score bajo; volumen distinto
Crema Para Peinar Pantene Pro-v Rizos Definidos | Crema para Peinar Pantene Pro-V Hidratación 300 ml,2926,9159,Despensa,Aceite,Líder / Jumbo,crema_para_peinar_pantene_pro_v,59,categoria distinta; score bajo
Crema Para Peinar Pantene Pro-v Rizos Definidos | Crema para Peinar Pantene Pro-V Restauración 300 ml,2926,9572,Despensa,Aceite,Líder / Jumbo,crema_para_peinar_pantene_pro_v,59,categoria distinta; score bajo
Jabón Líquido Ballerina Coco Jazmín 1.3 L | Jabón Ballerina Coco Jazmín 950 ml,27415,27492,Higiene Personal,Jabon,Jumbo / Jumbo,jabon_ballerina_coco_jazmin_sin_marca,59,formato distinto; score bajo; volumen distinto
Shampoo Herbal Essences Bio Renew Argan Oil 865 ml | Shampoo Herbal Essences Bio:Renew Argan Oil Of Morocco 400 ml,26128,26217,Higiene Personal,Shampoo,Jumbo / Jumbo,shampoo_herbal_essences_bio_renew_argan,59,formato distinto; score bajo; volumen distinto
Crema Facial Día L’Oréal Revitalift Retinol FPS 17 - 50 ml | Crema Facial Día L’Oréal Revitalift Ácido Hialurónico FPS 20 - 25 ml,8374,10259,"Lacteos, Huevos y Congelados",Crema,Jumbo / Jumbo,crema_facial_dia_l_oreal_revitalift,59,formato distinto; score bajo; volumen distinto
Crema Facial Día L’Oréal Revitalift Ácido Hialurónico FPS 20 - 25 ml | Crema Facial Día L’Oréal Revitalift Antiarrugas 50 ml,10259,10260,"Lacteos, Huevos y Congelados",Crema,Jumbo / Jumbo,crema_facial_dia_l_oreal_revitalift,59,formato distinto; score bajo; volumen distinto
Quitamanchas Líquido Ropa Color Doypack 800 ml Vanish | Quitamanchas Polvo Ropa Color Doypack 450 g Vanish,5216,5265,Limpieza,Detergentes,Líder / Líder,quitamanchas_ropa_color_doypack_vanish_sin,59,formato distinto; score bajo
Quitamanchas Polvo Ropa Blanca Doypack 100 g Vanish | Quitamanchas Líquido Ropa Blanca Doypack 1.8 L Vanish,5199,5283,Limpieza,Detergentes,Líder / Líder,quitamanchas_ropa_blanca_doypack_vanish_sin,59,formato distinto; score bajo
Quitamanchas Polvo Ropa Blanca Doypack 100 g Vanish | Quitamanchas Líquido Ropa Blanca Doypack 800 ml Vanish,5199,5217,Limpieza,Detergentes,Líder / Líder,quitamanchas_ropa_blanca_doypack_vanish_sin,59,formato distinto; score bajo
Quitamanchas Polvo Ropa Color Doypack 450 g Vanish | Quitamanchas Líquido Ropa Color Doypack 1.8 L Vanish,5265,5267,Limpieza,Detergentes,Líder / Líder,quitamanchas_ropa_color_doypack_vanish_sin,59,formato distinto; score bajo
Agua Mineral Light Gas Botella 600 ml Cachantun | Agua Mineral Sin Gas Botella 1 L Cachantun,4438,4589,Bebe,Alimentos Bebe,Líder / Líder,agua_mineral_gas_botella_cachantun_sin,60,formato distinto; score bajo; volumen distinto
"Agua Mineral Light Gas Botella 600 ml Cachantun | Agua Mineral Sin Gas Botella 1,6 L Cachantun",4438,4498,Bebe,Alimentos Bebe,Líder / Líder,agua_mineral_gas_botella_cachantun_sin,60,formato distinto; score bajo; volumen distinto
"Agua Mineral Light Gas Botella 600 ml Cachantun | Agua Mineral Sin Gas Botella 2,5 L Cachantun",4438,4609,Bebe,Alimentos Bebe,Líder / Líder,agua_mineral_gas_botella_cachantun_sin,60,formato distinto; score bajo; volumen distinto
"Agua Mineral Sin Gas Botella 600 ml Cachantun | Agua Mineral Light Gas Botella 1,6 L Cachantun",4417,4684,Bebe,Alimentos Bebe,Líder / Líder,agua_mineral_gas_botella_cachantun_sin,60,formato distinto; score bajo; volumen distinto
Jugo En Polvo Libre De Azúcar Pera De Agua 7g Sobre 1 Un Livean | Jugo En Polvo Libre De Azúcar Pera De Agua Sobre 8 g Vivo,3444,3462,Bebe,Alimentos Bebe,Líder / Líder,jugo_en_libre_azucar_pera_agua,60,formato distinto; peso distinto; score bajo
Agua Mineral Cachantun Light Gas 1.6 L | Agua Mineral Cachantun Sin Gas 1 L,22018,22073,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Light Gas 1.6 L | Agua Mineral Cachantun Sin Gas 500 ml,22018,22137,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Light Gas 1.6 L | Agua Mineral Cachantun Sin Gas 6 L,22018,22027,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Sin Gas 1 L | Agua Mineral Cachantun Light Gas 500 ml,22073,22136,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Sin Gas 2.25 L | Agua Mineral Cachantun Light Gas 1.6 L,21773,22018,Bebidas,Jugos,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Cachantun Sin Gas 6 L | Agua Mineral Cachantun Light Gas 500 ml,22027,22136,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_cachantun_gas_sin_marca,60,formato distinto; score bajo; volumen distinto
Agua Mineral Puyehue Gasificada 500 ml | Agua Mineral Puyehue Light Gasificada 1.5 L,22059,22070,Bebidas,Aguas,Jumbo / Jumbo,agua_mineral_puyehue_gasificada_sin_marca,60,formato distinto; score bajo; volumen distinto
Néctar del Valle Durazno 400 cc | Néctar del Valle Durazno Light 1 L,21668,21991,Bebidas,Jugos,Jumbo / Jumbo,nectar_del_valle_durazno_sin_marca,60,formato distinto; score bajo; volumen distinto
Néctar del Valle Naranja 400 cc | Néctar del Valle Naranja Light 1 L,21605,21993,Bebidas,Jugos,Jumbo / Jumbo,nectar_del_valle_naranja_sin_marca,60,formato distinto; score bajo; volumen distinto
Vino Miguel Torres Santa Digna Reserva Chardonnay 750 cc | Vino Miguel Torres Santa Digna Reserva Sauvignon Blanc 375 cc,24175,24177,Bebidas,Vinos,Jumbo / Jumbo,vino_miguel_torres_santa_digna_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Cabernet Sauvignon 375 cc | Vino Santa Ema Select Terroir Reserva Carmenere 750 cc,23086,23199,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Cabernet Sauvignon 375 cc | Vino Santa Ema Select Terroir Reserva Chardonnay 750 cc,23086,24109,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Carmenere 375 cc | Vino Santa Ema Select Terroir Reserva Cabernet Sauvignon 750 cc,23038,23141,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Carmenere 375 cc | Vino Santa Ema Select Terroir Reserva Sauvignon Blanc 750 cc,23038,24144,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Carmenere 750 cc | Vino Santa Ema Select Terroir Reserva Sauvignon Blanc 375 cc,23199,23239,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Ema Select Terroir Reserva Sauvignon Blanc 375 cc | Vino Santa Ema Select Terroir Reserva Chardonnay 750 cc,23239,24109,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_ema_select_terroir_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Cabernet Sauvignon 187 cc | Vino Santa Rita 120 3 Medallas Carmenere 700 cc,23063,23066,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Cabernet Sauvignon 187 cc | Vino Santa Rita 120 3 Medallas Chardonnay 750 cc,23063,23443,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Cabernet Sauvignon 700 cc | Vino Santa Rita 120 3 Medallas Chardonnay 750 cc,23106,23443,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Carmenere 700 cc | Vino Santa Rita 120 3 Medallas Sauvignon Blanc 187 cc,23066,23393,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Chardonnay 750 cc | Vino Santa Rita 120 3 Medallas Sauvignon Blanc 700 cc,23443,24085,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita 120 3 Medallas Sauvignon Blanc 187 cc | Vino Santa Rita 120 3 Medallas Chardonnay 750 cc,23393,23443,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_120_3_medallas,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 187 cc | Vino Santa Rita Medalla Real Reserva Chardonnay 750 cc,23215,24143,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 187 cc | Vino Santa Rita Medalla Real Reserva Ensamblaje 750 cc,23215,23923,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 375 cc | Vino Santa Rita Medalla Real Reserva Chardonnay 750 cc,23565,24143,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 375 cc | Vino Santa Rita Medalla Real Reserva Ensamblaje 750 cc,23565,23923,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Carmenere 750 cc | Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 187 cc,23133,23215,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Vino Santa Rita Medalla Real Reserva Carmenere 750 cc | Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 375 cc,23133,23565,Bebidas,Vinos,Jumbo / Jumbo,vino_santa_rita_medalla_real_reserva,60,formato distinto; score bajo; volumen distinto
Hamburguesa Vegetal Receta del Abuelo Vegan Crispy Nugget 400 g | Hamburguesa Vegetal Receta del Abuelo Vegan Burger Pepinillos 100 g,12482,12837,Carnes y Pescados,Aves,Jumbo / Jumbo,hamburguesa_vegetal_receta_del_abuelo_vegan,60,categoria distinta; formato distinto; peso distinto; score bajo
