cantidad_productos,clasificacion,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
9,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.375l;0.75l,sin marca,formatos incompatibles,Vino Santa Ema Select Terroir Reserva Carmenere 375 cc | Vino Santa Ema Select Terroir Reserva Cabernet Sauvignon 375 cc | Vino Santa Ema Select Terroir Reserva Cabernet Sauvignon 750 cc | Vino Santa Ema Select Terroir Reserva Carmenere 750 cc | Vino Santa Ema Select Terroir Reserva Sauvignon Blanc 375 cc,vino_santa_ema_select_terroir_reserva,23038;23086;23141;23199;23239;23257;23687;24109;24144
9,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.06kg;0.09kg;0.11kg;0.14kg,sin marca,formatos incompatibles,Pasta Dental Colgate Sensitive Pro Alivio Inmediato Original 60 g | Pasta Dental Colgate Sensitive Pro Alivio Inmediato Xtreme Temperatures 110 g | Pasta Dental Colgate Sensitive Pro Alivio Inmediato Encías 110 g | Pasta Dental Colgate Sensitive Pro-Alivio Inmediato Encías 140 g | Pasta Dental Colgate Sensitive Pro-Alivio 110 g,pasta_dental_colgate_sensitive_pro_alivio,28345;28428;28437;28472;28480;28491;28499;28501;28512
8,error de producto_base; formato distinto; peso distinto; posible falso positivo,2kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Perro Adulto Raza Pequeña Carne Y Vegetales Bolsa 8 Kg Pedigree | Alimento Seco Perro Adulto Raza Pequeña Carne Bolsa 3 Kg Master Dog | Alimento Seco Perro Adulto Raza Pequeña Carne Y Pollo Bolsa 8 Kg Dog Chow | Alimento Seco Perro Adulto Raza Pequeña Carne Y Vegetales Bolsa 3 Kg Pedigree | Alimento Seco Perro Adulto Raza Pequeña Carne Y Pollo Bolsa 3 Kg Dog Chow,alimento_seco_perro_adulto_raza_pequena,1913;1917;1923;1930;1931;1959;1976;1985
8,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.38kg;0.3kg;0.45kg;0.62kg;0.7kg;1.4kg;1kg,milo,formatos incompatibles,Saborizante para Leche Milo Polvo Chocolate 700 g | Saborizante para Leche Milo Polvo Chocolate 1000 g | Saborizante para Leche Milo Polvo Chocolate 300 g | Saborizante para Leche Milo Polvo Chocolate 620 g | Saborizante para Leche Milo Polvo Chocolate 450 g,saborizante_para_leche_chocolate_milo_polvo,6251;6269;6274;6325;6549;6557;6558;6595
8,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.08kg;0.1kg;0.315kg,sin marca,formatos incompatibles,Alimento Húmedo Gato Adulto Champion Cat Carne 315 g | Alimento Húmedo Gato Adulto Champion Cat Carne 100 g | Alimento Húmedo Gato Adulto Champion Cat Paté Pescado 315 g | Alimento Húmedo Gato Adulto Champion Cat Atún 100 g | Alimento Húmedo Gato Adulto Champion Cat Atún y Salmón 100 g,alimento_humedo_gato_adulto_champion_cat,11830;11904;29183;29241;29255;29274;29275;29284
8,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.9kg;1.3kg;1.5kg;1.7kg;1kg;5kg,sin marca,formatos incompatibles,Azúcar Blanca Iansa 1 kg | Azúcar Blanca Iansa 5 kg | Azúcar Blanca Iansa 900 g | Azúcar Blanca Iansa 1.7 kg | Azúcar Blanca Iansa 1.5 kg,azucar_blanca_iansa_sin_marca_general,14729;14737;14753;14758;14770;14772;30301;30305
8,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.03kg;0.24kg;0.2kg;0.35kg;0.42kg;0.45kg;0.61kg;0.68kg,sin marca,formatos incompatibles,Cereal Kellogg's Zucaritas 350 g | Cereal Kellogg's Zucaritas 610 g | Cereal Kellogg's Zucaritas 200 g | Cereal Kellogg's Zucaritas 240 g | Cereal Kellogg's Zucaritas 450 g,cereal_kellogg_s_zucaritas_sin_marca,16339;16359;16426;16565;16566;16567;16708;16752
8,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.35l;0.591l;1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Fanta Sin Azucar 1.25 L | Bebida Fanta Sin Azúcar 1.5 L | Bebida Fanta Sin Azúcar 3 L | Bebida Fanta Sin Azúcar 591 ml | Bebida Fanta Sin Azúcar 1.45 L,bebida_fanta_azucar_sin_marca_general,20635;20743;20776;20792;21224;21277;21320;30653
8,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.35l;0.5l;0.6l;1.25l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Limón Soda 1.75 L | Bebida Limón Soda 3 L | Bebida Limón Soda 1.5 L | Bebida Limón Soda 600 ml | Bebida Limón Soda 500 ml,bebida_limon_soda_sin_marca_general,20659;20681;20711;20841;21077;21100;21314;30601
8,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;0.85l;1.1l,sin marca,formatos incompatibles,Bebida Isotónica Powerade Frozen Blast Zero 850 ml | Bebida Isotónica Powerade Frozen Blast 850 ml | Bebida Isotónica Powerade Frozen Blast Zero 1.1 L | Bebida Isotónica Powerade Zero Frozen Blast 600 cc | Bebida Isotónica Powerade Frozen Blast 1.1 L,bebida_isotonica_powerade_frozen_blast_sin,20715;20767;20818;20861;20864;20872;30609;30697
7,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.085kg;0.1kg,sin marca,formatos incompatibles,Alimento Húmedo Gato Adulto Trocitos Sabor Carne Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Carne Pouch 100 g Champion Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Salmón Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Atún Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Salmón Y Sardina Pouch 100 g Champion Cat,alimento_humedo_gato_adulto_trocitos_sabor,1926;1965;6022;6023;6024;6025;6026
7,error de producto_base; marca distinta; posible falso positivo,0.3l,nido;sin marca,marcas distintas,Crema Para Peinar Pantene Pro-v Restauración | Crema Para Peinar Pantene Pro-v Bambú Nutre & Crece | Crema Para Peinar Pantene Pro-v Rizos Definidos | Crema Para Peinar Pantene Pro-v Hidratación Extrema Anti Frizz | Crema para Peinar Pantene Pro-V Hidratación 300 ml,crema_para_peinar_pantene_pro_v,2908;2924;2926;2934;9159;9225;9572
7,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.35l;0.591l;1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Sprite Sin Azucar 1.25 L | Bebida Sprite Sin Azúcar 1.5 L | Bebida Sprite Sin Azúcar 3 L | Bebida Sprite Sin Azúcar 591 ml | Bebida Sprite Sin Azúcar 1.45 L,bebida_sprite_azucar_sin_marca_general,20633;20641;20727;20769;21225;21278;21319
7,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;0.75l;1l,sin marca,formatos incompatibles,Bebida Isotónica Gatorade Naranja 1 L | Bebida Isotónica Gatorade Naranja 500 cc | Bebida Isotónica Gatorade Naranja Zero 1 L | Bebida Isotónica Gatorade Naranja Zero 500 ml | Bebida Isotónica Gatorade Naranja 750 cc,bebida_isotonica_gatorade_naranja_sin_marca,20758;20787;20813;21196;21296;30576;30618
7,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1.6l;1l;2.25l;6l,sin marca,formatos incompatibles,Agua Mineral Cachantun Sin Gas 2.25 L | Agua Mineral Cachantun Light Gas 1.6 L | Agua Mineral Cachantun Sin Gas 1.6 L | Agua Mineral Cachantun Sin Gas 6 L | Agua Mineral Cachantun Sin Gas 1 L,agua_mineral_cachantun_gas_sin_marca,21773;22018;22020;22027;22073;22136;22137
7,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.47l,sin marca,formatos incompatibles,Pack 6 un. Cerveza Austral Patagonia Hoppy Lager 4.8° 330 cc | Pack 6 un. Cerveza Austral Patagonia Red Lager 5.0° 330 cc | Pack 6 un. Cerveza Austral Patagonia Black Lager 5.7° 470 cc | Pack 6 un. Cerveza Austral Patagonia Red Lager 5.0° 470 cc | Pack 6 un. Cerveza Austral Patagonia Hoppy Lager 4.8° 470 cc,pack_6_un__cerveza_austral_patagonia,22197;22312;22840;22872;22882;22927;22941
7,error de normalizacion; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.187l;0.75l;0.7l,sin marca,formatos incompatibles,Vino Santa Rita 120 3 Medallas Cabernet Sauvignon 187 cc | Vino Santa Rita 120 3 Medallas Carmenere 700 cc | Vino Santa Rita 120 3 Medallas Cabernet Sauvignon 700 cc | Vino Santa Rita 120 3 Medallas Merlot 700 cc | Vino Santa Rita 120 3 Medallas Sauvignon Blanc 187 cc,vino_santa_rita_120_3_medallas,23063;23066;23106;23262;23393;23443;24085
7,error de normalizacion; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.7l;1.5l,sin marca,formatos incompatibles,Vino Santa Rita Gran 120 Ensamblaje Cabernet Sauvignon Syrah 1.5 L | Vino Santa Rita Gran 120 Ensamblaje 1.5 L | Vino Santa Rita Gran 120 Ensamblaje Red 1.5 L | Vino Santa Rita Gran 120 Ensamblaje Blue 1.5 L | Vino Santa Rita Gran 120 Ensamblaje Merlot Cabernet Sauvignon 700 cc,vino_santa_rita_gran_120_ensamblaje,23738;23750;23755;23800;24303;24304;24305
7,cantidad distinta; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.021l;0.02l,sin marca,formatos incompatibles,Desodorante Ambiental Air Wick Eléctrico Repuesto Lirios de Luna y Seda 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Vainilla 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Country Berry 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un.,desodorante_ambiental_air_wick_electrico_repuesto,27978;27991;27992;27995;28056;28058;28072
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.055kg;0.08kg;0.125kg;0.1kg,sin marca,formatos incompatibles,Chocolate De Leche 55 g Milka | Chocolate De Leche 80 g Milka | Chocolate de Leche Milka 55 g | Chocolate de Leche Milka 80 g | Chocolate de Leche Milka 125 g,chocolate_leche_milka_sin_marca_general,195;242;18405;18774;18778;19877
6,cantidad distinta; error de producto_base; formato distinto; marca distinta; posible falso positivo,10un;12un;20un;6un,ecoterra;sin marca,marcas distintas,Huevos De Campo Y Gallina Libre Grande Color 20 Un Selección | Huevos De Campo Y Gallina Libre Grande Color 12 Un Selección | Huevos De Campo Y Gallina Libre Grande Color 6 Un La Granja | Huevos De Campo Y Gallina Libre Grande Color 10 Un Ecoterra | Huevos De Campo Y Gallina Libre Grande Color 12 Un La Granja,huevos_campo_gallina_libre_grande_color,344;346;355;366;379;380
6,error de producto_base; formato distinto; marca distinta; peso distinto; posible falso positivo,0.4kg;0.5kg;1kg,carozzi;lider;lucchetti;sin marca,marcas distintas; formatos incompatibles,Fideo Pasta Spaghetti N°5 Bolsa 500 g Barilla | Fideo Pasta Spaghetti N°5 Bolsa 400 g Carozzi | Fideo Pasta Spaghetti N°5 Bolsa 1 Kg Carozzi | Fideo Pasta Spaghetti N°5 Bolsa 400 g Lider | Fideo Pasta Proteína Spaghetti N°5 Bolsa 400 g Lucchetti,fideo_pasta_spaghetti_n_5_bolsa,3510;3523;3550;3552;3554;3558
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.18kg;0.23kg;0.38kg;0.3kg,sin marca,formatos incompatibles,Papas Fritas Lay's Corte Liso | Papas Fritas Lay's Corte Liso 300 g | Papas Fritas Lay's Corte Liso 180 g | Papas Fritas Lay's Corte Liso 230 g | Papas Fritas Lay's Corte Liso 380 g,papas_fritas_lay_s_corte_liso,4190;17821;18157;18188;19317;19547
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;1.6l;1l;2.5l,sin marca,formatos incompatibles,"Agua Mineral Sin Gas Botella 600 ml Cachantun | Agua Mineral Light Gas Botella 600 ml Cachantun | Agua Mineral Sin Gas Botella 1,6 L Cachantun | Agua Mineral Sin Gas Botella 1 L Cachantun | Agua Mineral Sin Gas Botella 2,5 L Cachantun",agua_mineral_gas_botella_cachantun_sin,4417;4438;4498;4589;4609;4684
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.09l;0.18l;0.375l;0.65l;1l,sin marca,formatos incompatibles,Shampoo Head & Shoulders Limpieza Renovadora | Shampoo Head & Shoulders Limpieza Renovadora 1 L | Shampoo Head & Shoulders Limpieza Renovadora 375 ml | Shampoo Head & Shoulders Limpieza Renovadora 650 ml | Shampoo Head & Shoulders Limpieza Renovadora 90 ml,shampoo_head_shoulders_limpieza_renovadora_sin,5468;26146;26227;26404;26763;26844
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.25kg;0.5kg,sin marca,formatos incompatibles,Queso Mantecoso Río Bueno Laminado 500 g | Queso Mantecoso Río Bueno Laminado 150 g | Queso Mantecoso Río Bueno Laminado 250 g | Queso mantecoso río bueno laminado 500 g | Queso mantecoso río bueno laminado 250 g,queso_mantecoso_rio_bueno_laminado_sin,7133;7196;7223;29849;29942;29961
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.12l;0.2l;0.4l;0.75l;0.946l,sin marca,formatos incompatibles,Crema Corporal Lubriderm Humectación Diaria 750 ml | Crema Corporal Lubriderm Humectación Diaria 946 ml | Crema Corporal Lubriderm Humectación Diaria 400 ml | Crema Corporal Lubriderm Humectación Diaria 200 ml | Crema Corporal Lubriderm Humectación Diaria 120 ml,crema_corporal_lubriderm_humectacion_diaria_sin,8321;8533;9384;9388;9398;9402
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.093kg;0.125kg;0.187kg;0.25kg;0.751kg;1kg,sin marca,formatos incompatibles,Puré de Papas Maggi 187 g | Puré de Papas Maggi 93 g | Puré de Papas Maggi 751 G | Puré de Papas Maggi 125 g | Puré de Papas Maggi 1 kg,pure_papas_maggi_sin_marca_general,8372;9044;9046;9536;9538;9586
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.12l;0.2l;0.4l;0.75l;0.946l;1.5l,sin marca,formatos incompatibles,Crema Corporal Lubriderm Piel Normal 200 ml | Crema Corporal Lubriderm Piel Normal 750 ml | Crema Corporal Lubriderm Piel Normal 400 ml | Crema Corporal Lubriderm Piel Normal 120 ml | Crema Corporal Lubriderm Piel Normal 946 ml,crema_corporal_lubriderm_piel_sin_marca,9559;9724;9725;9732;9760;10122
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.5l;1l,sin marca,formatos incompatibles,Aceite de Oliva Banquete Extra Virgen 500 ml | Aceite de Oliva Banquete Extra Virgen 1 L | Aceite de Oliva Banquete Extra Virgen 250 ml | Aceite de oliva banquete extra virgen 1 l | Aceite de oliva banquete extra virgen 500 ml,aceite_oliva_banquete_extra_virgen_sin,15789;16046;16056;30159;30170;30180
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;1l;2l;5l,sin marca,formatos incompatibles,Aceite de Oliva Huasco Extra Virgen 2 L | Aceite de Oliva Huasco Extra Virgen 500 ml | Aceite de Oliva Huasco Extra Virgen 1 L | Aceite de Oliva Huasco Extra Virgen 5 L | Aceite de oliva huasco extra virgen 500 ml,aceite_oliva_huasco_extra_virgen_sin,15801;15872;15990;16021;30150;30164
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.03kg;0.21kg;0.31kg;0.39kg;0.64kg;0.805kg,sin marca,formatos incompatibles,Cereal Chocapic Receta Original 640 g | Cereal Chocapic Receta Original 310 g | Cereal Chocapic Receta Original 30 g | Cereal Chocapic Receta Original 390 g | Cereal Chocapic Receta Original 805 g,cereal_chocapic_receta_original_sin_marca,16351;16362;16364;16498;16536;16692
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.14kg;0.23kg;0.2kg;0.35kg;0.38kg;0.45kg,sin marca,formatos incompatibles,Papas Fritas Marco Polo Corte Americano 450 g | Papas Fritas Marco Polo Corte Americano 200 g | Papas Fritas Marco Polo Corte Americano 350 g | Papas Fritas Marco Polo Corte Americano 380 g | Papas Fritas Marco Polo Corte Americano 230 g,papas_fritas_marco_polo_corte_americano,17940;18027;18199;19013;19205;19889
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.355l;0.591l;1.5l;1.75l;2l,sin marca,formatos incompatibles,Bebida Fanta Piña 355 ml | Bebida Fanta Piña 2 L | Bebida Fanta Piña 1.75 L | Bebida Fanta Piña 591 ml | Bebida Fanta Piña 220 ml,bebida_fanta_pina_sin_marca_general,21142;21182;21186;21187;21238;21239
6,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.375l;0.75l,sin marca,formatos incompatibles,Vino Miguel Torres Santa Digna Gran Reserva Carmenere 750 cc | Vino Miguel Torres Santa Digna Gran Reserva Cabernet Sauvignon 750 cc | Vino Miguel Torres Santa Digna Gran Reserva Merlot 750 cc | Vino Miguel Torres Santa Digna Gran Reserva Carmenere 375 cc | Vino Miguel Torres Santa Digna Gran Reserva Cabernet Sauvignon 375 cc,vino_miguel_torres_santa_digna_gran,23013;23030;23123;23167;23718;23990
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.38kg;0.55kg;0.58kg,sin marca,formatos incompatibles,Pan Molde Ideal Blanco 380 g | Pan Molde Ideal Blanco 580 g | Pan Molde Ideal Blanco 550 g | Pan Molde Ideal Blanco 350 g | Pan de molde ideal blanco 580 g,pan_molde_ideal_blanco_sin_marca,24651;24678;24895;24897;30764;30917
6,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.075l;0.09kg;0.102kg,sin marca,formatos incompatibles,Pack 3 un. Pasta Dental Colgate Triple Acción Extra Blancura 90 g | Pack 3 un. Pasta Dental Colgate Max White Crystal Mint 102 g | Pack 3 un. Pasta Dental Colgate Total Original Mint Prevención Activa 75 ml | Pack 3 un. Pasta Dental Colgate Triple Acción Menta Original 75 ml | Pack 3 un. Pasta Dental Colgate Total Carbón Activado 75 ml,pack_3_un__pasta_dental_colgate,28326;28330;28338;28355;28364;28469
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.25kg;0.5kg,soprole,formatos incompatibles,Queso Mantecoso Quilque Laminado 500 g Soprole | Queso Mantecoso Quilque Laminado 250 g Soprole | Queso Mantecoso Quilque Laminado 150 g Soprole | Queso mantecoso quilque soprole laminado 250 g | Queso mantecoso quilque soprole laminado 150 g,queso_mantecoso_quilque_laminado_soprole_general,521;752;876;29876;29978
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.042kg;0.2kg;0.35kg;0.4kg;0.9kg,sin marca,formatos incompatibles,Maní Japonés 350 g De La Rosa | Maní Japonés de La Rosa 200 g | Maní Japonés de La Rosa 400 g | Maní Japonés de La Rosa 42 g | Maní Japonés de La Rosa 900 g,mani_japones_rosa_sin_marca_general,1719;18450;18563;18586;19150
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;3l,sin marca,formatos incompatibles,Vinagre Incoloro 3 L Traverso | Vinagre Incoloro Traverso 500 ml | Vinagre Incoloro Traverso 3 L | Vinagre incoloro traverso 500 ml | Vinagre incoloro traverso 3 l,vinagre_incoloro_traverso_sin_marca_general,2700;15680;15981;30234;30248
5,error de producto_base; formato distinto; marca distinta; peso distinto; posible falso positivo,0.2kg;1.2kg,lider;lucchetti;sin marca,marcas distintas; formatos incompatibles,Salsa De Tomate Italiana Pack 6 Un Bolsa 200 g Pomarola | Salsa De Tomate Italiana Pack 6 Un Bolsa 1200 g Lider | Salsa De Tomate Italiana Pack 6 Un Bolsa 200 g Heinz | Salsa De Tomate Italiana Pack 6 Un Bolsa 200 g Malloa | Salsa De Tomate Italiana Pack 6 Un Bolsa 1200 g Lucchetti,salsa_tomate_italiana_pack_6_un,3686;3695;3710;3755;3757
5,error de producto_base; formato distinto; marca distinta; posible falso positivo; volumen distinto,0.591l;1.5l;2.5l;2l;3l,coca cola;coca-cola,marcas distintas; formatos incompatibles,"Bebida Original Botella 2 L Coca-Cola | Bebida Original Botella 2,5 L Coca-Cola | Bebida Original Botella 1,5 L Coca-Cola | Bebida Original Botella 3 L Coca-Cola | Bebida coca cola original botella 591 ml",bebida_original_botella_coca_cola_general,4490;4582;4583;4631;29540
5,error de producto_base; formato distinto; peso distinto; posible falso positivo; volumen distinto,0.45kg;0.45l;0.85kg;0.8l;1.8l,sin marca,formatos incompatibles,Quitamanchas Polvo Ropa Color Doypack 850 g Vanish | Quitamanchas Líquido Ropa Color Doypack 450 ml Vanish | Quitamanchas Líquido Ropa Color Doypack 800 ml Vanish | Quitamanchas Polvo Ropa Color Doypack 450 g Vanish | Quitamanchas Líquido Ropa Color Doypack 1.8 L Vanish,quitamanchas_ropa_color_doypack_vanish_sin,5197;5215;5216;5265;5267
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.37l;0.68l;1l,sin marca,formatos incompatibles,Shampoo Elvive Hidra Hialurónico | Shampoo Elvive Hidra Hialuronico | Shampoo Elvive Hidra Hialurónico 680 ml | Shampoo Elvive Hidra Hialurónico 370 ml | Shampoo Elvive Hidra Hialurónico 1 L,shampoo_elvive_hidra_hialuronico_sin_marca,5424;5425;26118;26144;26840
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.25kg;0.46kg;0.47kg;0.54kg;0.5kg,sin marca,formatos incompatibles,Tabla de Queso Santa Rosa Envasado Trozo 250 g | Tabla de Queso Santa Rosa Envasado Trozo 500 g | Tabla de Queso Santa Rosa Envasado Trozo 470 g | Tabla de Queso Santa Rosa Envasado Trozo 460 g | Tabla de Queso Santa Rosa Envasado Trozo 540 g,tabla_queso_santa_rosa_envasado_trozo,7212;7241;7249;7717;7718
