tipo_hallazgo,producto_id,producto_nombre,categoria_actual,subcategoria_actual,categoria_sugerida,confianza_correccion,motivo
mascota_en_higiene,5647,Shampoo Para Gato Seco Repelente Pulgas Aroma Eucaliptus Lata 100 g Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5649,Shampoo Para Perro Pelaje Claro Con Aloe Vera Aroma Frambuesa Y Papaya Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5650,Shampoo Para Perro 2 En 1 Con Balsamo Aroma Vainilla Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5651,Shampoo Para Perro Hipoalergenico Uso Frecuente Botella 390 ml Canish,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5655,Shampoo Para Perro Seco Aroma Eucaliptus Lata 100 g Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5656,Shampoo Para Perro Repelente Con Aloe Vera Aroma Eucaliptus Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
alimento_en_limpieza,25316,Pasta Limpiadora The Pink Stuff Multiuso 850 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: pasta/kit de limpieza multiuso, categoria actual consistente."
alimento_en_limpieza,25326,Pasta de Limpieza Fibro Glow 500 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: pasta/kit de limpieza multiuso, categoria actual consistente."
alimento_en_limpieza,25390,Pasta de Limpieza Fibro Glow 200 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: pasta/kit de limpieza multiuso, categoria actual consistente."
alimento_en_limpieza,25599,Leche Limpiadora Petrizzio 200 ml + Loción Tonic 200 ml,Limpieza,Limpiadores,Higiene Personal,Alta,Producto de limpieza facial/cosmetica; no es limpieza del hogar.
alimento_en_limpieza,25601,Leche Nivea Facial Limpiador Suave 200 ml,Limpieza,Limpiadores,Higiene Personal,Alta,Producto de limpieza facial/cosmetica; no es limpieza del hogar.
alimento_en_limpieza,25685,Betún Pasta Calzado Virginia Bio Café 80 ml,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25717,Betún Pasta Calzado Nugget Café 65 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25723,Betún Pasta Calzado Nugget Negra 65 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25736,Kit Pasta + Esponja The Pink Stuff,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: pasta/kit de limpieza multiuso, categoria actual consistente."
alimento_en_limpieza,25749,Leche & Tónico Micelar Nivea Rose Care 2en1 - 200 ml,Limpieza,Limpiadores,Higiene Personal,Alta,Producto de limpieza facial/cosmetica; no es limpieza del hogar.
alimento_en_limpieza,25770,Leche Limpieza Facial La Roche Posay Toleriane 200 ml,Limpieza,Limpiadores,Higiene Personal,Alta,Producto de limpieza facial/cosmetica; no es limpieza del hogar.
alimento_en_limpieza,25787,Leche Limpiadora Nivea Piel Seca 200 ml,Limpieza,Limpiadores,Higiene Personal,Alta,Producto de limpieza facial/cosmetica; no es limpieza del hogar.
alimento_en_limpieza,25853,Betún Pasta Calzado Virginia Bio Negro 50 ml,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25854,Betún Pasta Calzado Virginia Bio Café 50 ml,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25892,Betún Pasta Calzado Virginia Bio Negro 80 ml,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: betun/pasta para calzado, categoria actual razonable."
alimento_en_limpieza,25908,Pasta Limpiadora Multiuso The Pink Stuff 500 g,Limpieza,Limpiadores,Limpieza,Alta,"Falso positivo de auditoria: pasta/kit de limpieza multiuso, categoria actual consistente."
mascota_en_higiene,26165,Shampoo Fructis Hair Food Aguacate 300 ml,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,26303,Shampoo Cantu Aguacate 400 ml,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,26362,Shampoo Perro Pet's Fun en Seco 100 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26393,Shampoo Perro Pet's Fun Pelaje Blanco 290 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26400,Shampoo Perro Pet's Fun Desenredante 290 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26408,Shampoo Perro Pet's Fun Hipoalergénico 290 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26514,Shampoo Perro Canish en Seco 160 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26516,Shampoo Gato Tidy En Seco Perfumado 200 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26521,Shampoo Gato Traper Espuma En Seco 170 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26528,Shampoo Perro Tidy En Seco Perfumado 100 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26531,Shampoo Perro Traper Espuma En Seco 170 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26535,Shampoo Perro Canish Hipoalergénico 300 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26536,Shampoo Perro Drag Pharma Antiparasitario 100 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26537,Shampoo Gato Traper Neutro 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26559,Shampoo Perro Adulto Traper Neutro Hipóalergénico 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26562,Shampoo y Acondicionador Perro Canish 300 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26564,Shampoo Perros Eco Traper Pieles Sensibles 250 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26565,Shampoo Perro Canish 390 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26568,Shampoo Perro Adulto Traper Aloe Piel Sensible 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26569,Shampoo Perro Traper Extra Brillo y Suavidad 260 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26571,Shampoo Perro Adulto Traper Manzanilla 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26572,Shampoo Perro Cachorro Traper Neutro Cereza 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26573,Shampoo Perro Sinpul Antiparasitario 300 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26574,Shampoo Perro Pets & Friends Pelaje Blanco 250 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26575,Shampoo Perro Drag Pharma 360 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26578,Acondicionador Perro Adulto Traper Desenredante 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26579,Acondicionador Perros Traper Cachorro 260 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26580,Shampoo Perro Pets & Friends 250 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26599,Shampoo Gato Pet's Fun en Seco 100 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26600,Shampoo Perro Pet's Fun en Seco 160 g,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26608,Shampoo Perro Pets & Friends Matico 320 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26609,Shampoo Perro Pets & Friends Cobre 320 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26669,Shampoo Original Remedies Délicatesse de Avena 300 ml,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,26677,Shampoo Perro Pets & Friends Cachorros 250 cc,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26678,Shampoo Fructis Hair Food Aguacate 300 ml + Bálsamo 300 ml,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,26737,Shampoo Perro Pets & Friends Hipoalergénico 250 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26741,Shampoo Perro Pets & Friends Balsámico 250 ml,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,26896,Acondicionador Fructis Hair Food Aguacate 300 ml,Higiene Personal,Acondicionador,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,27004,Acondicionador Cantu Aguacate 400 ml,Higiene Personal,Acondicionador,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,27217,Acondicionador Original Remedies Délicatesse de Avena 250 ml,Higiene Personal,Acondicionador,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
bebida_en_mascotas,29019,Alimento Perro Adulto Master Dog Trocitos Jugosos Razas Pequeñas 85 g,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29027,Alimento Húmedo Perro Cachorro Master Dog Trocitos Jugosos 85 g,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29039,Trocitos Jugosos Master Dog Senior 100 g,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29073,Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Pollo 375 g,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29075,Alimento Húmedo Perro Adulto Cannes Trocitos Jugosos Pollo 100 g,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29164,Alimento Húmedo Gatito Master Cat Trocitos Jugosos 85 g,Mascotas,Alimento Gatos,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29232,Trocitos Jugosos Master Cat Sabor Atún 85 g,Mascotas,Alimento Gatos,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29269,Trocitos Jugosos Master Cat Senior Sabor Pollo 85 g,Mascotas,Alimento Gatos,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,29310,Pack 5 un. Alimento Húmedo Gato Master Cat Trocitos Jugosos,Mascotas,Alimento Gatos,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
