producto_id,nombre,categoria_actual,subcategoria_actual,categoria_sugerida,subcategoria_sugerida,confianza,motivo,accion_recomendada
339,Tónico Rose Care Leche & Tonico Micelar 2 En 1 200 ml Nivea,"Lacteos, Huevos y Congelados",Leche,Higiene Personal,Cuidado Facial,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
427,Salchichón Cerveza Mini Pza 400 g Winter,"Lacteos, Huevos y Congelados",Huevos,Bebidas,Cervezas,Media,Bebida fuera de Bebidas,revisar_y_mover
429,Bebida Vegetal Notmilk Chocolate 1 L NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
444,Bebida Vegetal De Avellana Sabor Chocolate Caja 1 L Vivicosí,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
509,Desodorante Spray Nivea Black&white Original Masculino Xl Hombre,"Lacteos, Huevos y Congelados",Huevos,Higiene Personal,Desodorantes,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
553,Bebida Vegetal Almendras Sabor Original 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
554,Bebida Vegetal Sabor Té Chai 330 ml Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
571,Bebida Láctea Probiótico Original Multipack Botella 6 Un x 80 ml Chamyto,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
600,Bebida Vegetal Café Caramelo Protein Sin Azúcar 250 ml Notco,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
602,Bebida Vegetal Proteína 1 L Nature's Heart,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
669,Bebida Láctea Probiótico Sabor Frambuesa Multipack Botella 80ml Chamyto,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
760,Bebida Vegetal Soya Natural Caja 1 L Loncoleche,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
846,Bebida De Coco Original 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
847,Bebida Vegetal Chocolate 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
850,Bebida Barista Almendra 1 L Orasi,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
855,Salchichón Cerveza 250 g Cecinas de León,"Lacteos, Huevos y Congelados",Huevos,Bebidas,Cervezas,Media,Bebida fuera de Bebidas,revisar_y_mover
912,Bebida De Almendras Sabor Chocolate 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
913,Bebida De Almendras Sabor Vainilla 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
914,Bebida Vegetal Arroz Chocolate 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
915,Bebida Vegetal Sin Azúcar Coco 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
916,Bebida De Almendras Sabor Vainilla 200 ml Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
917,Bebida Vegetal Barista Almendra 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
922,Bebida Vegetal Notshake Protein Chocolate 250 ml Notco,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
925,Bebida Vegetal Barista Soya 1 L Orasi,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
926,Bebida Vegetal Almendra Sin Azucar 1 L Orasi,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
946,Bebida Vegetal Almendras 6x1 1 L Loncoleche,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
960,Bebida Vegetal Almendras Sabor Original Sin Azúcar 1 L Vilay,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
966,Bebida Vegetal Almendras Sin Azúcar 946 ml Great Value,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
984,Bebida Láctea Probiótico Sabor Manzana Multipack Botella 80ml Chamyto,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
997,Bebida Láctea Probiótico Sabor Frutilla Pack Botella 6 Botellas 90 cc c/u Calán,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1043,Bebida Vegetal Soya 1 L Orasí,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1044,Bebida Vegetal Arroz 1 l Orasí,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1046,Bebida Láctea Probiótico Sabor Frutilla Multipack Botella 80ml Chamyto,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1052,Bebida Láctea Probiótico Uno Sabor Frutilla Pack 12 Botella 80 ml c/u Soprole,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1065,Bebida Láctea Probiótico Uno Multifruta Pack 12 Botella 80 ml c/u Soprole,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1105,Jabón Crema Ballerina Triple Humectación Piel Sensible Hipoalergénico,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1110,Acondicionador Ballerina Detox Carbón Activado Y Menta,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1113,Jabón Líquido Hipoalergénico Doypack 650 ml Ballerina,Bebe,Alimentos Bebe,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1119,Jabón Líquido Ballerina Violetas Silvestres,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1120,Jabón Líquido Ballerina Yoghurt Y Berries Vainilla,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1122,Acondicionador Ballerina Largo Increible,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1123,Acondicionador Ballerina Natural Manzanilla,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1124,Acondicionador Ballerina Sin Sal Palta Y Almendra,Despensa,Salsas,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1126,Acondicionador Ballerina Ondas Y Rizos Controlados,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1127,Acondicionador Ballerina Micelar Botella - Bajo Poo,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1133,Jabón Líquido Extra Suave Baby Line Doy Pack 750 ml Ballerina,Bebe,Alimentos Bebe,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1134,Jabón Ballerina Energy,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1136,Jabón Crema Ballerina Triple Humectación Aceite De Karité,Despensa,Aceite,Higiene Personal,Jabon,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1158,Crema Facial Pack Hidratante + Luminosidad 1 Un Petrizzio,"Lacteos, Huevos y Congelados",Crema,Higiene Personal,Cuidado Facial,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1159,Crema Facial Aclaradora 400 g Teatrical,"Lacteos, Huevos y Congelados",Crema,Higiene Personal,Cuidado Facial,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1160,Crema Facial Antiarrugas 400 g Teatrical,"Lacteos, Huevos y Congelados",Crema,Higiene Personal,Cuidado Facial,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1279,"Mix Frutos Secos Mix Gourmet: Avellanas, Almendras, Maravilla Y Maní 300 gr Sembrasol",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1291,Frutos Secos Mix Cajuna 700 g Tribu,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1293,"Mix Frutos Secos Mix De Almendras, Pasas Rubias Y Maní Tostado, Sin Sal 700 g Lider",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1307,"Mix Frutos Secos Mix De Maní Confitado, Pasas Morenas, Almendras Y Pistacho, Sin Sal 700 g Lider",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1336,"Mix Frutos Secos Mix Nuts Cajú, Almendras Y Maní 300 gr Sembrasol",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1382,Zanahoria Jugo Bolsa 1 Kg,Frutas y Verduras,Frutas,Bebidas,Jugos,Media,Bebida fuera de Bebidas,revisar_y_mover
1539,"Desinfectante Líquido Concentrado Para Frutas, Verduras Y Utensilios Botella 250 ml Germalimp",Frutas y Verduras,Frutas,Limpieza,Limpiadores,Alta,Producto de limpieza fuera de Limpieza,mover_categoria
1562,Bebida Isotónica Frutas Tropicales Botella 500 ml Gatorade,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1567,Néctar Durazno Frutas+vitamin Lata 340 ml Del Valle,Bebe,Alimentos Bebe,Bebidas,Jugos,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1577,Bebida Isotónica Frutas Tropicales Botella 1 L Gatorade,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1580,Bebida Isotónica Frutas Tropicales Botella 750 ml Gatorade,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1655,Bebida Hidratante Frutos Tropicales Botella 1 L Ironade,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1676,Desodorante Ambiental Aerosol Placer Floral Y Frutos Rojos Lata 360 cc Glade,Frutas y Verduras,Frutas,Higiene Personal,Desodorantes,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1678,Desinfectante Aerosol Frutos Del Bosque Lata 360 ml Lysoform,Frutas y Verduras,Frutas,Limpieza,Limpiadores,Alta,Producto de limpieza fuera de Limpieza,mover_categoria
1680,Kombucha Fruta Prensada En Frío Manzana Y Jengibre 475 ml Dr Kombu,Bebe,Alimentos Bebe,Bebidas,Jugos,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1681,Agua Saborizada Frutos Rojos Botella 1.5 L Benedictino,Bebe,Alimentos Bebe,Bebidas,Aguas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1683,Bebida Hidratante Frutos Rojos Botella 630 ml Suerox,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1685,Desodorante Ambiental Aerosol Frutos Del Sur Gatillo Frasco 250 ml Arom,Frutas y Verduras,Frutas,Higiene Personal,Desodorantes,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1693,Bebida Energética Sabor Fruta Del Dragón Lata 250 ml Red Bull,Bebe,Alimentos Bebe,Bebidas,Bebidas Energeticas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1695,Agua Saborizada Power-c Fruta De Dragón Botella 500 ml Vitamin Water,Bebe,Alimentos Bebe,Bebidas,Aguas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1697,Desodorante Ambiental Gel En Lata Frutos Silvestres Y Flor De Durazno 70 g Air Wick,Frutas y Verduras,Frutas,Higiene Personal,Desodorantes,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1698,Maní Japones Clásico 80 g Kazai,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1700,Desodorante Ambiental Aerosol Placer Floral Y Frutos Rojos Lata 255 ml Glade,Frutas y Verduras,Frutas,Higiene Personal,Desodorantes,Alta,Producto de higiene personal fuera de Higiene Personal,mover_categoria
1703,Kombucha Fruta Prensada En Frío Mix Berries 475 ml Dr Kombu,Bebe,Alimentos Bebe,Bebidas,Jugos,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
1711,Mani Cáscara Sembrasol 350 Grs,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1713,Maní Tostado Sin Sal 700 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1714,Mani Con Sal De Mar 150 g Frutisa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1715,Maní Tostado Sin Sal 400 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1716,Maní Tostado Sin Sal 150 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1719,Maní Japonés 350 g De La Rosa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1721,Maní Sin Sal 150 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1723,Maní Salado Con Miel Bolsa 150 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1724,Mani Japones Salsa Negra 80 g De La Rosa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1725,Maní Crocante Con Jamón Ahumado 100 g Millantú,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1728,Maní Salado 150 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1730,Maní Japonés 200 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1733,"Nut Mix 1 Maní, Castañas Y Almendras 700 g Marco Polo",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1734,Maní Salado 140 g Evercrisp,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1736,Snack Mix Trail 700 g Frutisa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1737,Snack Mix Go 700 g Frutisa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1738,Snack Maravilla Tostada Salada 100 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1739,Energy Mix Almendra Maní Pasas 300 gr Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1740,Castañas De Cajú Con Miel 150 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1741,Maní Con Pasas 350 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1742,Maní Japonés Kazai Spicy Cheddar 80 g De La Rosa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1743,Maní Japonés Bolsa 200 g De La Rosa,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1744,Mani Sin Sal 380 g Evercrisp,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1745,Mani Salado 380 g Evercrisp,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1754,Maní Tostado Salado 400 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1755,Maní Tostado Salado 150 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1756,Maní Japones Merkén 80 g Kazai,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1757,Maní Tostado Salado 700 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1758,Castaña De Cajú Salada 200 g Millantú,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1759,Maní Con Merkén Salado 100 g Millantú,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1760,Mani Japonés Salado Maniax 200 g Evercrisp,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1761,Maní Salado 150 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1762,Maní Salado 380 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1763,Maní Sin Sal 380 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1765,Maní Con Pasas Bolsa 180 g Marco Polo,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1766,Snack De Maravilla Pipona Tostada Limón 110 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1767,Maní Japones Ají Limón 80 gr Kazai,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1768,Maní Tostado Salado Y Sazonado 454 g Great Value,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1770,Castañas De Cajú 400 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1771,Snack De Maravilla Pipona Salada Tostada Picante 110 g Sembrasol,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1773,"Maní, Pasas Y Almendras 150 g Lider",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1774,Castañas De Caju 80 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1775,Maní Confitado 150 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1776,Maní Sin Sal 400 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1777,Mani Confitado 80 g Nuts4Nuts,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1778,Maní Japonés 400 g Lider,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1779,"Nut Mix 2 Maní, Almendras Y Castañas De Cajú 700 g Marco Polo",Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1782,Maní Sin Sal 140 g Evercrisp,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,Alta,Snack/fruto seco detectado dentro de categoria Bebe,mover_categoria
1784,Jugo Limón 100% Natural Botella 250 ml Traverso,Despensa,Aceite,Bebidas,Jugos,Media,Bebida fuera de Bebidas,revisar_y_mover
1785,Jugo Limón Sutil 100% Natural Botella 250 ml Traverso,Despensa,Aceite,Bebidas,Jugos,Media,Bebida fuera de Bebidas,revisar_y_mover
1878,Alimento Seco Cachorro Carne Y Cereales Bolsa 3 Kg Cannes,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
1886,Alimento Húmedo Cachorro Sabor Carne Pouch 85 g Pedigree,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
1890,Alimento Seco Cachorro Pollo Y Carne Bolsa 2 Kg Purina One,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
