producto_id,producto_nombre,supermercado,categoria_bd,subcategoria_bd,categoria_sugerida,subcategoria_sugerida,archivo_fuente,categoria_fuente,subcategoria_fuente,script_origen,punto_falla,causa_probable,confianza,recomendacion
148,Bebida Leche Láctea Yogu Yogu Damasco Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8077,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
149,Bebida Leche Láctea Yogu Yogu Frutilla Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8078,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
150,Bebida Leche Láctea Yogu Yogu Piña Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8079,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
151,Bebida Leche Láctea Trencito Chocolate Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8080,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
217,Bebida Vegetal Notmilk Chocolate Tetra Pak 200 ml NotCo,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8092,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
218,Bebida Vegetal Notmilk Original 1 L NotCo,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8031,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
220,Bebida Láctea Sabor Frutilla 200 ml Surlat,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8072,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
246,Chocolate Lenguas De Gato Leche 120 g Costa,Líder,"Lacteos, Huevos y Congelados",Leche,Mascotas,Alimento Gatos,data\lider_real.csv:248,"Lacteos, Huevos y Congelados",Leche,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
300,Alimento Seco Cachorro Raza Pequeña Carne Y Leche Bolsa 3 Kg Master Dog,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2278,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
306,Alimento Seco Cachorro Raza Mediana/grande Sabor Carne Y Leche Bolsa 3 Kg Master Dog,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2290,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1878,Alimento Seco Cachorro Carne Y Cereales Bolsa 3 Kg Cannes,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2184,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1886,Alimento Húmedo Cachorro Sabor Carne Pouch 85 g Pedigree,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2192,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1890,Alimento Seco Cachorro Pollo Y Carne Bolsa 2 Kg Purina One,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2197,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1891,Galletas Perro Adulto Sabor Carne Bolsa 500 g Master Dog,Líder,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,data\lider_real.csv:6084,Desayuno y Snacks,Snacks,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1895,Alimento Seco Cachorro Raza Mediana/grande Carne Bolsa 3 Kg Champion Dog,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2203,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1896,Alimento Seco Cachorro Raza Pequeña Carne Bolsa 3 Kg Champion Dog,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2204,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1897,Galletas Perro Adulto Sabor Carne Bolsa 500 g Champion Dog,Líder,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,data\lider_real.csv:6090,Desayuno y Snacks,Snacks,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1912,Snack Perro Beef Stick Carne g Vitakraft,Líder,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,data\lider_real.csv:5297,Desayuno y Snacks,Snacks,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1932,Alimento Seco Cachorro Carne Bolsa 3 Kg Pedigree,Líder,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,data\lider_real.csv:2240,Carnes y Pescados,Carnes,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1105,Jabón Crema Ballerina Triple Humectación Piel Sensible Hipoalergénico,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,data\lider_real.csv:1285,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1110,Acondicionador Ballerina Detox Carbón Activado Y Menta,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,data\lider_real.csv:1290,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1113,Jabón Líquido Hipoalergénico Doypack 650 ml Ballerina,Líder,Bebe,Alimentos Bebe,Higiene Personal,Jabon,data\lider_real.csv:8220,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1119,Jabón Líquido Ballerina Violetas Silvestres,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,data\lider_real.csv:1301,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1120,Jabón Líquido Ballerina Yoghurt Y Berries Vainilla,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Jabon,data\lider_real.csv:1302,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1122,Acondicionador Ballerina Largo Increible,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,data\lider_real.csv:1304,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1123,Acondicionador Ballerina Natural Manzanilla,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,data\lider_real.csv:1307,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1124,Acondicionador Ballerina Sin Sal Palta Y Almendra,Líder,Despensa,Salsas,Higiene Personal,Acondicionador,data\lider_real.csv:4384,Despensa,Salsas,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1126,Acondicionador Ballerina Ondas Y Rizos Controlados,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,data\lider_real.csv:1310,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1539,"Desinfectante Líquido Concentrado Para Frutas, Verduras Y Utensilios Botella 250 ml Germalimp",Líder,Frutas y Verduras,Frutas,Limpieza,Limpiadores,data\lider_real.csv:1787,Frutas y Verduras,Frutas,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1678,Desinfectante Aerosol Frutos Del Bosque Lata 360 ml Lysoform,Líder,Frutas y Verduras,Frutas,Limpieza,Limpiadores,data\lider_real.csv:1931,Frutas y Verduras,Frutas,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
8178,Limpiador Crema Bio Virutex 500 ml,Jumbo,"Lacteos, Huevos y Congelados",Crema,Limpieza,Limpiadores,data\jumbo_real.csv:2210,"Lacteos, Huevos y Congelados",Crema,app/scraper_jumbo_real.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
8214,Limpiador Crema Home Care Tradicional 500 ml,Jumbo,"Lacteos, Huevos y Congelados",Crema,Limpieza,Limpiadores,data\jumbo_real.csv:2246,"Lacteos, Huevos y Congelados",Crema,app/scraper_jumbo_real.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
8249,Limpiador Crema The Pink Stuff Multiuso 500 ml,Jumbo,"Lacteos, Huevos y Congelados",Crema,Limpieza,Limpiadores,data\jumbo_real.csv:2281,"Lacteos, Huevos y Congelados",Crema,app/scraper_jumbo_real.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1279,"Mix Frutos Secos Mix Gourmet: Avellanas, Almendras, Maravilla Y Maní 300 gr Sembrasol",Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8812,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1291,Frutos Secos Mix Cajuna 700 g Tribu,Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8687,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1293,"Mix Frutos Secos Mix De Almendras, Pasas Rubias Y Maní Tostado, Sin Sal 700 g Lider",Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8536,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1307,"Mix Frutos Secos Mix De Maní Confitado, Pasas Morenas, Almendras Y Pistacho, Sin Sal 700 g Lider",Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8535,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1336,"Mix Frutos Secos Mix Nuts Cajú, Almendras Y Maní 300 gr Sembrasol",Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8761,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1698,Maní Japones Clásico 80 g Kazai,Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8338,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1711,Mani Cáscara Sembrasol 350 Grs,Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8398,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1713,Maní Tostado Sin Sal 700 g Lider,Líder,Bebe,Alimentos Bebe,Desayuno y Snacks,Snacks,data\lider_real.csv:8404,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
